,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
474,Rab5c,18832.39501,-0.268264234,0.051872552,-5.171602732,2.32E-07,2.07E-06
475,Tax1bp1,18680.37178,0.264356016,0.038495918,6.86711818,6.55E-12,9.46E-11
476,Osbpl8,18679.08347,0.03902273,0.043319443,0.900813274,0.367687609,0.578824918
477,Mmp12,18666.77292,-0.164427319,0.185469542,-0.886546202,0.375323269,0.586472798
478,Ccdc88b,18657.07142,0.360023236,0.104667464,3.439686234,0.000582389,0.002878018
479,Ppp1ca,18641.43655,-0.278139931,0.061804169,-4.500342514,6.78E-06,4.91E-05
480,Dock2,18556.51681,-0.895910002,0.071187179,-12.5852719,2.54E-36,1.31E-34
481,Pid1,18548.74002,-0.346568771,0.106462345,-3.25531785,0.001132655,0.005212737
482,Cenpb,18545.1506,0.117435998,0.070139487,1.674320748,0.094067579,0.219916837
483,Sdc1,18511.204,1.458197356,0.084043136,17.35058238,1.95E-67,2.39E-65
484,Trafd1,18495.32474,-0.000920728,0.099835233,-0.009222474,0.992641635,0.996540382
485,mt-Atp6,18484.91582,-1.82138629,1.029487027,-1.76921733,NA,NA
486,Lrp10,18423.4061,-0.037933242,0.047404036,-0.800211234,0.423588422,0.634680192
487,Atp6ap1,18415.25242,0.114684566,0.045736655,2.507497863,0.012158932,0.041185598
488,Rab7,18395.21137,0.053907861,0.153264449,0.351731022,0.725039993,0.858833781
489,Plin2,18378.08158,-0.843965802,0.067500258,-12.50314935,7.18E-36,3.64E-34
490,Laptm4a,18365.79191,-0.4204843,0.076094876,-5.525789932,3.28E-08,3.27E-07
491,Dgkz,18246.69991,-0.194485912,0.045781752,-4.248109885,2.16E-05,0.000142107
492,Cic,18236.36123,-0.499846309,0.097684407,-5.11695086,3.11E-07,2.74E-06
493,Rnaset2a,18211.72634,0.225133261,0.046284411,4.864127164,1.15E-06,9.34E-06
494,Pitpna,18204.96758,-0.384659683,0.08820809,-4.360820902,1.30E-05,8.89E-05
495,Ghitm,18165.11706,0.145676208,0.160400823,0.908201129,0.363771968,0.575599434
496,Hspa9,18052.8184,0.453754907,0.078377095,5.789381501,7.06E-09,7.66E-08
497,Cd53,18031.35934,-0.346020918,0.086659716,-3.992869288,6.53E-05,0.00039517
498,Ahnak2,17982.71727,1.417675172,0.075203382,18.85121556,2.87E-79,4.50E-77
499,Kctd12,17945.77423,-0.954423821,0.063816959,-14.95564553,1.43E-50,1.13E-48
500,Rps3,17939.69459,0.392617387,0.14979281,2.621069637,0.008765436,0.031186328
501,Adam17,17902.2209,-0.12956957,0.24026932,-0.539268061,0.589701904,0.76924182
502,Rnh1,17900.03058,0.107137958,0.131324383,0.815826853,0.414599172,0.626137256
503,Dock8,17884.42482,-1.031183479,0.082943081,-12.43242312,1.74E-35,8.67E-34
504,Dazap2,17884.35781,-0.474481201,0.133252588,-3.560765358,0.000369775,0.001915535
505,Hdlbp,17831.83443,-0.025805247,0.051436158,-0.501694685,0.615882304,0.788238493
506,Ifih1,17804.8795,-0.41806429,0.063586752,-6.574707376,4.87E-11,6.52E-10
507,Fpr1,17775.64469,-0.957106134,0.061286904,-15.61681323,5.59E-55,4.96E-53
508,Tlr1,17774.85661,-0.307764912,0.105408897,-2.919724249,0.003503412,0.014081789
509,Rab32,17773.00725,-0.087937768,0.054643606,-1.60929658,0.107551507,0.244133625
510,Fam120a,17707.47961,0.018636948,0.11582644,0.16090409,0.872168941,0.941999432
511,Rbpj,17704.2904,-0.749317051,0.102176679,-7.33354283,2.24E-13,3.63E-12
512,Il1b,17701.44839,-2.449516283,0.104513954,-23.43721764,1.78E-121,5.98E-119
513,Ehbp1l1,17700.96759,-0.604963232,0.110211291,-5.489122078,4.04E-08,4.00E-07
514,Jak2,17689.30135,0.1679429,0.042171946,3.982336962,6.82E-05,0.000411309
515,Pip5k1c,17675.853,0.204536721,0.218761605,0.934975406,0.349800974,0.563639161
516,Pcbp2,17655.8828,-0.242508704,0.071829694,-3.376162295,0.000735045,0.003536155
517,Wasf2,17563.24147,-0.705952358,0.092812901,-7.606187813,2.82E-14,4.95E-13
518,Nfkb2,17550.32446,0.063646258,0.064536583,0.986204347,0.324032847,0.536257436
519,Slfn8,17533.50881,-0.612945688,0.089753314,-6.82922627,8.54E-12,1.22E-10
520,Tmem106a,17486.08939,-0.530042192,0.120608539,-4.394731891,1.11E-05,7.74E-05
521,Ms4a6b,17473.88891,-2.035395728,0.054698191,-37.21138993,4.47E-303,1.08E-299
522,Csde1,17473.00554,0.265422398,0.063454752,4.182860863,2.88E-05,0.000186029
523,Slc31a1,17471.9273,-0.313836862,0.055817651,-5.622538001,1.88E-08,1.93E-07
524,Ncstn,17440.56324,0.009950371,0.04327492,0.229933887,0.818143144,0.911868819
525,Ywhae,17426.26288,-0.259611402,0.140024682,-1.854040284,0.063733397,0.162137895
526,Fpr2,17424.91073,0.449719389,0.061216223,7.346408581,2.04E-13,3.31E-12
527,Fcgr3,17386.72875,-1.346894462,0.143169463,-9.407693746,5.07E-21,1.33E-19
528,Rpl17,17340.80003,0.323034422,0.067891005,4.758132889,1.95E-06,1.53E-05
529,Sh3glb1,17338.55684,0.137815815,0.117045753,1.177452513,0.239014941,0.436136036
530,Rpn2,17328.28777,0.274934341,0.081477654,3.374352698,0.000739895,0.003555963
531,Aldh2,17298.83365,0.114847565,0.087369182,1.314508878,0.188675013,0.370149239
532,Oas2,17294.43588,-0.366485044,0.130358075,-2.811372017,0.004933071,0.019002546
533,Cd47,17293.37401,-0.616189113,0.058597531,-10.51561559,7.32E-26,2.46E-24
534,Myo9b,17270.33709,-0.019696139,0.041176136,-0.478338706,0.632409152,0.799036109
535,Ptpn1,17255.02202,-0.158299718,0.060160053,-2.631309482,0.008505654,0.030390075
536,Arf3,17174.8022,-0.34875387,0.05380926,-6.481298409,9.09E-11,1.18E-09
537,Cotl1,17133.84288,-0.707417694,0.042636225,-16.59194016,7.97E-62,8.46E-60
538,Coa5,17132.26335,-0.272189927,0.057947301,-4.697197653,2.64E-06,2.03E-05
539,Pdcd6ip,17125.95035,-0.208568562,0.040970588,-5.090689918,3.57E-07,3.11E-06
540,Lrrc59,17121.65402,-0.128921391,0.055399783,-2.327110021,0.01995941,0.062708178
541,Atp2a2,17086.81412,-0.012605118,0.125771654,-0.100222245,0.920167886,0.964557595
542,Atp6v0b,17066.8147,0.491290572,0.134157061,3.662055266,0.0002502,0.001350106
543,Cd36,17064.29302,-0.689489203,0.071020968,-9.708248425,2.78E-22,7.79E-21
544,Rnf114,17046.30708,-0.271187005,0.04509604,-6.013543681,1.82E-09,2.09E-08
545,Atp6v1e1,17043.9074,0.534564326,0.179375127,2.980147449,0.002881097,0.011895469
546,Coro1c,17042.20524,-0.293827274,0.050263713,-5.84571361,5.04E-09,5.56E-08
547,Gm28439,17017.13111,-0.725493874,0.629651343,-1.152215241,NA,NA
548,Uba52,16991.02426,0.077129927,0.060640635,1.271918198,0.203402185,0.390752655
549,Dhx58,16979.68462,-0.310870446,0.051415557,-6.04623314,1.48E-09,1.72E-08
550,Nfe2l2,16955.00459,0.149541138,0.093644823,1.596897006,0.110288667,0.248690383
551,Gm1821,16954.20254,-0.17538999,0.092143626,-1.903441381,0.056982976,0.148007927
552,Trip12,16939.42427,-0.161713795,0.05498647,-2.940974315,0.003271817,0.0132995
553,Zc3hav1,16934.9376,-0.06337717,0.088682838,-0.714649778,0.474825478,0.679681654
554,Gpi1,16909.97129,-0.13219825,0.07390001,-1.788880006,0.073634142,0.181817227
555,Ehd4,16883.39459,-1.317161657,0.047800052,-27.55565321,3.79E-167,2.10E-164
556,Fau,16864.01332,0.169684053,0.155962148,1.087982276,0.276602932,0.482515136
557,Caprin1,16855.34557,-0.175804984,0.059068414,-2.976294295,0.002917547,0.012022969
558,Ifi203,16850.82832,-0.613834914,0.153576173,-3.996941069,6.42E-05,0.000388679
559,Fcgr4,16802.92465,-1.564543512,0.05491062,-28.4925486,1.45E-178,9.08E-176
